No,R,dR,VE,PE,DE,Xp,dXp,Fw,Ec,I1,Tm,Ss,Cp,Hmix,absHmix,Sc,B,G,v,c11,c12,c44,dB,dG,2G/1-v,H-TS,Fw6,B/G,HV
M-221,129.3476,0.044916418,7.65,0.07,5.766,1.75508,0.079336266,4.6241,3.98148,7.4170328,1731.15911,28.579,25.0742,-7.816464,8.37,-1.750416205,197.018,120.162,0.32164,337.058,160.606,113.84,0.356199148,0.394726857,354.2720679,17.37854097,9.776047543,1.639603202,182
M-222,129.4944,0.04592931,7.6,0.08,5.704,1.75352,0.07943841,4.6204,3.97512,7.4016432,1722.58184,28.576,25.0648,-8.290304,8.832,-1.759452251,195.792,119.128,0.32216,334.552,159.664,112.96,0.361521253,0.404663199,351.4929777,16.90928672,9.729207168,1.64354308,182
M-223,128.08181,0.04826393,8.42833,0.14285,6.42839,1.8413741,0.052845598,4.797003,4.1098823,7.556565495,1590.561973,29.813395,24.884966,-4.979253882,10.69310532,-1.475049502,162.99609,94.5688,0.3128473,268.70801,143.4247,89.1403,0.318886054,0.54103191,275.2482818,14.52787387,12.18484308,1.723571516,166
M-224,128.22466,0.048271922,7.71408,0.14285,5.71414,1.8070901,0.061883172,4.7755755,4.1970208,7.41944378,1700.875028,28.470605,24.742116,-10.20333552,10.20333552,-1.475049502,179.28099,105.7111,0.3199898,314.27716,145.1389,92.5687,0.339589535,0.462638455,310.9103363,10.65670453,11.86190094,1.695952365,166
M-225,129.346116,0.048908132,7.41643,0.16666,5.58316,1.7782788,0.067746287,4.6673583,4.0657117,7.236786518,1685.680204,27.965786,24.582584,-7.555057786,12.1103289,-1.748129393,172.16237,103.33049,0.3374904,303.9095,136.49593,91.3307,0.391567263,0.537026305,311.9365817,16.94600366,10.33776964,1.666133297,601
M-226,130.132032,0.054467625,7.44437,0.22222,5.5555,1.7799822,0.073679454,4.7232861,4.0144043,7.141350808,1608.507915,28.577492,24.599754,-10.17263605,14.51822815,-1.581087939,160.33173,106.99893,0.3355522,294.88594,133.22089,88.888,0.443673148,0.578234977,322.0687314,10.97273769,11.10364365,1.498442368,496
M-227,129.68445,0.049761101,7.63597,0.18181,5.81788,1.7880918,0.066718844,4.6370383,3.9761625,7.287279311,1611.59938,28.644016,24.535129,-3.900377202,12.6268354,-1.767719932,168.81011,87.63143,0.3372561,277.44068,133.35684,85.45004,0.364527889,0.569103225,264.4503556,19.78643889,9.941321019,1.92636489,458
M-228,129.652888,0.053296102,7.17648,0.19608,5.19608,1.7854872,0.0731427,4.6843144,4.17292,7.232322688,1698.024346,27.876464,24.707848,-12.13386962,12.13386962,-1.674371206,168.07768,106.3528,0.3313728,300.23392,137.60768,91.88224,0.406867215,0.539240906,318.1228643,11.50527716,10.56516337,1.580378514,608
M-229,129.782248,0.054649902,7.15688,0.19608,5.17648,1.7745112,0.068695711,4.6784344,4.18762,7.225786088,1695.084346,28.027384,24.717648,-13.31756536,13.31756536,-1.674371206,166.35288,104.3144,0.3343128,295.54952,137.35288,90.02024,0.403312464,0.561021052,313.4036526,10.28065204,10.48584094,1.594725944,569
M-230,129.52,0.053380714,7.2,0.2,5.2,1.778,0.067809525,4.686,4.12,7.23512,1674.0946,27.86,24.72,-12.32,12.32,-1.609437912,166.2,106,0.332,296.8,137.2,91.6,0.407645725,0.545899632,317.3652695,10.08218403,10.58799446,1.567924528,501
M-231,127.675,0.046699273,8.25,0.125,6.25,1.8275,0.062793529,4.86,4.24,7.3869125,1694.309125,28.625,25.2375,-10.625,10.625,-1.386294361,139.5,140.5,0.31625,289,145.375,106.75,0.456591998,0.454430423,410.9689214,8.904190604,13.17703245,0.992882562,226
M-232,132.428036,0.068491719,6.6664,0.16666,4.66648,1.7382638,0.081316647,4.6264816,4.241497,7.166996642,1718.84341,28.3322,24.782342,-21.55383115,21.55383115,-1.791727798,157.32704,98.49606,0.3216538,279.9888,128.16154,84.9966,0.412812341,0.562669802,290.4005654,4.052330493,9.806296846,1.597292724,627
M-233,131.102456,0.063223642,6.90876,0.18181,4.90886,1.7562769,0.076167706,4.6534053,4.186151,7.197760126,1698.454396,28.116763,24.753306,-17.91531741,17.91531741,-1.767719932,161.35581,101.9042,0.3263476,287.62244,132.26636,87.99578,0.411401222,0.556085747,302.5423794,7.048068292,10.15372229,1.583406866,688
M-234,129.861472,0.048965799,6.83306,0.16666,4.83314,1.7532632,0.070215048,4.6214818,4.3181606,7.153680508,1760.00843,28.032212,24.74901,-14.8876978,14.8876978,-1.791727798,168.3266,93.3296,0.3466528,293.3216,136.16122,78.99684,0.368510466,0.642204962,285.6967934,11.33171235,9.742882892,1.803571429,649
M-235,129.594816,0.05240382,7.1151,0.1923,5.11518,1.7722368,0.068613475,4.670967,4.1656026,7.216103652,1693.869358,27.898884,24.725934,-13.07587694,13.07587694,-1.710531661,166.68564,103.0728,0.3353712,295.98816,136.95606,88.68876,0.398830419,0.568457977,310.166517,11.01469809,10.38582007,1.617164179,558
M-236,129.804304,0.049761385,6.89641,0.17241,4.89645,1.7575508,0.069998215,4.6326653,4.2840543,7.167814422,1745.21995,28.00289,24.744333,-14.57732067,14.57732067,-1.78862095,167.96218,95.5152,0.3441312,293.92512,136.34209,81.17066,0.3754353,0.625836985,291.2631307,11.37669842,9.885201969,1.758486398,625
M-237,139.77638,0.047365688,4.4444,0.22222,2.55553,1.6022062,0.023496755,4.3244012,5.1488374,6.600878435,1972.52983,30.266364,24.55531,-15.40709926,16.19720692,-1.581087939,150.77627,44.33289,0.3788851,235.21987,111.44333,35.99964,0.359381438,0.757352319,142.7526211,10.52369044,6.539670622,3.401002506,438
M-238,128.05,0.045888407,8.5,0.125,6.625,1.83,0.063432715,4.81625,4.1275,7.3675875,1643.030375,29.025,25.1875,-6.625,11.75,-1.386294361,131.125,133.75,0.3225,266.75,140.625,104.625,0.440323489,0.522010933,394.8339483,12.31313407,12.48113648,0.980373832,225
M-239,138.825,0.049273969,4.75,0.25,3,1.7425,0.140478087,4.4275,4.79,6.6682,1975.36825,27.875,24.2,-14,14,-1.386294361,179.25,84.5,0.3325,317.75,113.25,73,0.457161772,0.521012553,253.1835206,8.768774894,7.53271297,2.121301775,606
M-240,137.38,0.049253936,4.8,0.2,3,1.72,0.12995194,4.402,4.894,6.6842,2018.2946,28.08,24.34,-12.16,12.16,-1.609437912,179.2,73.6,0.35,309.4,116.8,61.6,0.40901239,0.611539842,226.4615385,14.84815537,7.276126305,2.434782609,556
M-241,135.65,0.070272352,7,0.25,5,1.74,0.095909881,4.6025,4.0425,7.04505,1490.56075,30.525,24.95,-23.25,25.25,-1.386294361,109,83.5,0.3175,189,110.5,73.5,0.214372871,0.808117055,244.6886447,-6.06928335,9.505233349,1.305389222,537
M-242,142.3,0.026975541,4.5,0.25,2.75,1.7275,0.145374775,4.3775,5.6575,6.6663,2129.11825,31.025,24.5,-15.25,16.25,-1.386294361,158,57.25,0.3475,251.25,114.75,50.25,0.433001138,0.72876065,175.4789272,9.290950355,7.036503832,2.759825328,509
M-243,140.16,0.039147616,4.6,0.2,2.8,1.708,0.133479189,4.362,5.588,6.68268,2141.2946,30.6,24.58,-12.8,13.44,-1.609437912,162.2,51.8,0.362,256.2,118,43.4,0.380797549,0.750506058,162.3824451,15.85410096,6.88833036,3.131274131,537
M-244,140.18,0.039214251,4.6,0.2,2.6,1.688,0.142544951,4.352,5.694,6.84082,2248.2946,31.62,24.74,-12.96,13.28,-1.609437912,166.2,60.2,0.342,262.6,120.6,55,0.379269517,0.589492734,182.9787234,17.12593982,6.794121672,2.760797342,509
M-245,143.975,0.012133785,4.25,0.25,2.25,1.5625,0.028755521,4.29,5.9775,6.7806,2225.36825,34.225,24.825,-16,17.5,-1.386294361,141,41.75,0.36,199.5,114.75,41,0.318083327,0.474340704,130.46875,9.65036101,6.233669216,3.377245509,458
M-246,132,0.052486388,6.6,0.2,4.6,1.706,0.074754038,4.476,3.816,7.19394,1632.2946,28.28,24.76,-10.88,11.52,-1.609437912,203.2,92.6,0.334,320.2,150,100,0.340861108,0.432105809,278.0780781,10.96283016,8.041562971,2.194384449,604
M-247,131.31,0.04940965,6.87,0.14,4.93,1.7108,0.075941426,4.4772,3.8286,7.294884,1676.18622,28.361,24.85,-8.672,9.408,-1.595081911,212.08,97.31,0.3304,333.16,156.81,106.21,0.299779078,0.377736114,290.651135,13.55809884,8.054507134,2.179426575,735
M-248,131.655,0.051046778,6.735,0.17,4.765,1.7084,0.075364907,4.4766,3.8223,7.244412,1654.24041,28.3205,24.805,-9.83,10.518,-1.605968246,207.64,94.955,0.3322,326.68,153.405,103.105,0.320886995,0.405369448,284.3815514,12.25877936,8.048032884,2.186720025,636
M-249,132.345,0.053746532,6.465,0.23,4.435,1.7036,0.074107719,4.4754,3.8097,7.143468,1610.34879,28.2395,24.715,-11.822,12.414,-1.606138436,198.76,90.245,0.3358,313.72,146.595,96.895,0.359857753,0.458135822,271.7404396,9.682981047,8.035097393,2.202448889,609
M-250,132.69,0.054841684,6.33,0.26,4.27,1.7012,0.073424764,4.4748,3.8034,7.092996,1588.40298,28.199,24.67,-12.656,13.2,-1.59647964,194.32,87.89,0.3376,307.24,143.19,93.79,0.377986698,0.483605561,265.3683575,8.428349916,8.028636148,2.2109455,617
M-251,141.125,0.040691228,4.25,0.25,2.25,1.595,0.021028852,4.3025,5.28,6.58025,1952.86825,31.075,24.7,-16.25,17.25,-1.386294361,137.25,33.75,0.3775,202.25,108,27.75,0.296512085,0.477935662,108.4337349,6.259432143,6.343446392,4.066666667,632
M-252,128.85378,0.017756992,6.3327,0,4.6662,1.706496,0.051603633,4.43289,4.562877,7.13831943,2043.4623,26.664,24.46422,-4.4435556,4.4435556,-1.098602422,206.646,77.6589,0.376629,340.6326,139.986,71.6595,0.179164712,0.521480896,249.1578851,14.22210306,7.587902254,2.660944206,456
M-253,128.876,0.018239409,6.343,0,4.639,1.70868,0.052463273,4.429,4.59237,7.1564326,2039.969,26.832,24.5258,-4.722916,4.722916,-1.095386964,203.727,74.66,0.37622,331.887,139.999,69.725,0.176031974,0.532781085,239.3792683,13.85629529,7.548038066,2.728730244,469
M-254,139.17424,0.047297859,4.9332,0,3.3998,1.670643,0.117069953,4.361311,5.910757,6.81946366,2362.1241,31.01399,24.66679,-2.84334204,3.98140428,-1.50647952,176.4562,54.7243,0.370002,284.1745,126.0641,41.9923,0.283723739,0.708260111,173.728488,26.7437362,6.881804658,3.224457873,718
M-255,142.72525,0.051484779,4.7691,0,3.2306,1.65149,0.138661208,4.336121,6.168478,6.82021448,2388.3496,32.50855,24.78469,-1.7034272,3.21829584,-1.498611682,163.3737,51.2269,0.35846,258.1337,119.7628,40.1507,0.319211704,0.686322503,159.6997849,28.0559028,6.646734882,3.189216993,657
M-256,131.62,0.063841611,6.75,0.35,4.45,1.7705,0.072825191,4.653,4.0135,7.118015,1494.61555,28.535,24.84,-16.22,16.22,-1.482887105,139.8,90.25,0.329,237.55,127.3,81.1,0.431548094,0.703368775,269.0014903,2.207809865,10.14841726,1.549030471,451
M-257,130.92,0.061099144,6.9,0.3,4.7,1.773,0.071211322,4.664,4.049,7.15705,1554.4419,28.31,24.8,-15.12,15.12,-1.557113098,148.6,95.5,0.33,257.3,130.6,84.6,0.431497386,0.650366315,285.0746269,5.0047637,10.29321989,1.556020942,467
M-258,130.22,0.057663196,7.05,0.25,4.95,1.7755,0.069540767,4.675,4.0845,7.196085,1614.26825,28.085,24.76,-13.82,13.82,-1.596804335,157.4,100.75,0.331,277.05,133.9,88.1,0.422776508,0.598058131,301.1958146,7.6120417,10.4397402,1.562282878,516
M-259,148.43,0.046465611,3.95,0.25,1.9,1.517,0.07352619,4.2415,5.379,6.555135,1897.01825,33.315,24.85,-12.12,13.08,-1.376226604,112.95,36.8,0.3485,167.4,88.9,32.3,0.288173131,0.450677525,112.9700691,9.586889508,5.822598284,3.069293478,824
