No,R,dR,VE,PE,DE,Xp,dXp,Fw,Ec,I1,Tm,Ss,Cp,Hmix,absHmix,Sc,B,G,v,c11,c12,c44,dB,dG,2G/1-v,H-TS,Fw6,B/G,HV
M-115,148.848582,0.059081936,4.54527,0,2.90897,1.5817547,0.186778727,4.2443761,6.2461068,6.827445075,2396.53823,35.225841,24.98991,-1.189982812,3.041070418,-1.594141457,146.81214,59.17946,0.3227141,241.26285,102.63216,49.63439,0.410918437,0.575766197,174.754738,30.57490714,5.846327798,2.480795533,428
M-116,148.036294,0.058754,4.66676,0,3.00006,1.5716981,0.180949455,4.2384181,6.6718001,6.94813896,2581.7183,36.650733,25.050501,-1.00004,3.222351112,-1.791775304,157.50315,59.50119,0.3316733,249.00498,113.50227,52.66772,0.375508549,0.548535151,178.0601912,37.46166542,5.797259936,2.647058824,505
M-117,149.265174,0.064813721,4.66662,0,3.11108,1.5910952,0.204825543,4.2255133,6.5566011,6.827565057,2497.41947,36.232971,24.966417,-1.382688395,3.357957531,-1.581087939,154.33179,58.77719,0.3344411,251.33082,106.99893,49.11062,0.416798375,0.640698328,176.625059,31.44827724,5.692156578,2.625708885,445
M-118,148.848582,0.059081936,4.54527,0,2.90897,1.5817547,0.186778727,4.2443761,6.2461068,6.827445075,2396.53823,35.225841,24.98991,-1.189982812,3.041070418,-1.594141457,146.81214,59.17946,0.3227141,241.26285,102.63216,49.63439,0.410918437,0.575766197,174.754738,30.57490714,5.846327798,2.480795533,413
M-119,127.377296,0.032984983,8.6604,0.0566,6.98116,1.8288688,0.058714358,4.761134,4.106984,7.447334148,1704.684575,28.790568,24.973588,-0.825724058,10.22416165,-1.474285661,151.11348,124.0004,0.3284904,284.75544,142.62292,103.88708,0.409752808,0.517280063,369.318324,20.07021104,11.6482968,1.218653166,168
M-120,149.04,0.061749687,4.6,0,3,1.586,0.195179394,4.236,6.386,6.82768,2442,35.68,24.98,-1.28,3.2,-1.609437912,150.2,59,0.328,245.8,104.6,49.4,0.41459163,0.605632852,175.5952381,31.39804185,5.777443521,2.545762712,497
M-121,147.820744,0.060234168,4.66662,0,3.11108,1.6144283,0.194282204,4.2566241,6.4010471,6.849142619,2476.97523,35.310758,24.933084,-1.580215309,3.950538272,-1.581087939,156.44288,61.77716,0.3266634,257.10854,108.77669,51.99948,0.400140542,0.592879218,183.4956246,30.98199126,5.948285394,2.532374101,447
M-122,150.030412,0.062142251,4.54527,0,2.90897,1.5626636,0.19465436,4.2189213,6.3733808,6.809790353,2413.26567,35.980394,25.017183,-1.057756035,2.644390088,-1.594141457,145.08485,56.72489,0.3290778,236.53553,101.1776,47.27073,0.42410597,0.613813507,169.0952841,30.92884759,5.63908375,2.557692928,424
M-123,149.06,0.061652405,4.6,0,2.8,1.566,0.198741902,4.226,6.492,6.98582,2549,36.7,25.14,-1.44,2.72,-1.609437912,154.2,67.4,0.308,252.2,107.2,61,0.416873406,0.446052402,194.7976879,32.6698807,5.69609149,2.287833828,542
M-124,152.2375,0.048679152,4.25,0,2.375,1.43,0.082668464,4.13875,6.34375,6.8603375,2395.625,38.0625,25.3,1.25,1.25,-1.559581156,124.75,48,0.3225,193.25,92.875,42.5,0.282693017,0.315781383,141.697417,32.31439883,5.025915268,2.598958333,237
M-125,150.8125,0.064785209,4.25,0,2.375,1.44625,0.093020179,4.145,5.995,6.7601625,2259.375,36.4875,25.2375,0.1875,1.3125,-1.559581156,122.875,44,0.33125,194.625,89.5,35.875,0.258462755,0.344488782,131.588785,29.48512634,5.07162588,2.792613636,337
M-126,149.052719,0.068189878,4.42844,0,2.71421,1.4756698,0.093115926,4.175589,6.3198222,6.740796878,2339.50317,36.284654,25.099245,0.48977551,1.469280818,-1.549803609,133.71028,36.42729,0.3642754,201.42227,101.13992,27.71327,0.276113173,0.41238721,114.6008507,30.63624397,5.300373439,3.670607394,315
M-127,147.975,0.0444441,4.5,0,2.75,1.485,0.075813672,4.195,6.74,6.990425,2617,38.05,25.2,2.5,2.5,-1.386294361,147.25,49.75,0.3375,219.5,114,46,0.254436793,0.348259696,150.1886792,32.66444346,5.449940878,2.959798995,270
M-128,149.9741,0.050514088,4.323,0.055,2.457,1.46258,0.082273658,4.17227,6.46314,6.8677874,2431.796015,37.6933,25.1828,-2.97864,5.83632,-1.733901025,133.652,45.357,0.33976,198.878,102.862,41.45,0.302933096,0.37609612,137.3954925,32.07939606,5.275145354,2.946667549,353
M-129,147.252945,0.066918797,4.50009,0,2.66672,1.483363,0.085155534,4.1884171,6.4201284,6.890771146,2464.21595,36.684067,25.183837,0.444462222,1.77784889,-1.791775304,143.66954,43.83421,0.3516737,216.33766,109.00218,37.66742,0.275230337,0.375884016,135.2226803,37.15565103,5.398828652,3.27756654,558
M-130,150.38,0.050528835,4.4,0,2.6,1.454,0.081330099,4.166,6.642,6.91912,2519,38.24,25.24,1.6,1.6,-1.609437912,136.6,46.6,0.338,204.4,104.6,42,0.290680281,0.358978947,140.7854985,35.30843056,5.227759425,2.931330472,306
